"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"504","x1938","X3300045934_PreDrought_Site3_6hr",0.038944163089327,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Actinobacteria"
"469","x1938","X3300045966_PreDrought_Site3_0hr",0.0384897844035646,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Actinobacteria"
"570","x2038","X3300045975_PreDrought_Site1_6hr",0.0384329658076321,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Nitrospirae"
"772","x2741","X3300045933_PreDrought_Site2_48hr",0.0379883225144903,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Planctomycetes"
"552","x2038","X3300045920_PreDrought_Site1_48hr",0.0375716833676729,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Nitrospirae"
"795","x2777","X3300045977_Drought_Site1_0hr",0.0375480830945104,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Chloroflexi"
"771","x2741","X3300045931_Drought_Site2_0hr",0.0372700186067657,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Planctomycetes"
"485","x1938","X3300045930_PreDrought_Site2_6hr",0.0369388026983493,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Actinobacteria"
"551","x2038","X3300046482_Drought_Site3_6hr",0.0368556248014876,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Nitrospirae"
"774","x2741","X3300045926_Drought_Site2_48hr",0.0365388239103376,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Planctomycetes"
"470","x1938","X3300045967_PreDrought_Site3_6hr",0.0363026015153646,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Actinobacteria"
"549","x2038","X3300045945_PreDrought_Site3_0hr",0.0356704313468174,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Nitrospirae"
"553","x2038","X3300049734_Drought_Site3_0hr",0.0355039904229848,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Nitrospirae"
"671","x2223","X3300045978_Drought_Site1_48hr",0.0354789195388079,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Verrucomicrobia"
"568","x2038","X3300045910_PreDrought_Site1_0hr",0.0353738190122377,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Nitrospirae"
"496","x1938","X3300045933_PreDrought_Site2_48hr",0.0349290880174985,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Actinobacteria"
"477","x1938","X3300045926_Drought_Site2_48hr",0.0348314229019978,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Actinobacteria"
"476","x1938","X3300045968_PreDrought_Site3_48hr",0.0347761211174755,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Actinobacteria"
"794","x2777","X3300045978_Drought_Site1_48hr",0.0344715784311652,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Chloroflexi"
"763","x2741","X3300045964_Drought_Site1_6hr",0.0340817847466601,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Planctomycetes"
"799","x2777","X3300045975_PreDrought_Site1_6hr",0.03391107979277,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Chloroflexi"
"492","x1938","X3300045953_Drought_Site3_48hr",0.0336526766632495,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Actinobacteria"
"676","x2223","X3300045955_Drought_Site3_0hr",0.0328871452902755,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Verrucomicrobia"
"766","x2741","X3300045940_Drought_Site1_0hr",0.0322615895125247,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Planctomycetes"
"803","x2777","X3300045920_PreDrought_Site1_48hr",0.0321406009683533,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Chloroflexi"
"655","x2223","X3300049733_Drought_Site2_48hr",0.0319594808631163,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Verrucomicrobia"
"569","x2038","X3300049732_PreDrought_0hr",0.0315780878733683,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Nitrospirae"
"555","x2038","X3300045933_PreDrought_Site2_48hr",0.031518321674128,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Nitrospirae"
"826","x2777","X3300045884_Drought_Site1_6hr",0.0311636942033789,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Chloroflexi"
"548","x2038","X3300045952_Drought_Site2_6hr",0.0303868945485355,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Nitrospirae"
"560","x2038","X3300049731_Drought_Site1_48hr",0.0303758108966176,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Nitrospirae"
