"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"1424","x2741","X3300045941_PreDrought_Site2_0hr",0.044482478209501,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Planctomycetes"
"1124","x2223","X3300045977_Drought_Site1_0hr",0.0443527202611793,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Verrucomicrobia"
"788","x1938","X3300045947_Drought_Site3_6hr",0.0436391643940142,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Actinobacteria"
"1421","x2741","X3300045944_PreDrought_Site2_48hr",0.0434351950815741,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Planctomycetes"
"778","x1938","X3300045945_PreDrought_Site3_0hr",0.0433713733600327,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Actinobacteria"
"1419","x2741","X3300045930_PreDrought_Site2_6hr",0.0428342980170679,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Planctomycetes"
"766","x1938","X3300049732_PreDrought_0hr",0.0426241094342688,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Actinobacteria"
"926","x2038","X3300045934_PreDrought_Site3_6hr",0.0419523733934282,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Nitrospirae"
"792","x1938","X3300045941_PreDrought_Site2_0hr",0.0412975007338912,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Actinobacteria"
"771","x1938","X3300045975_PreDrought_Site1_6hr",0.0405374440124986,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Actinobacteria"
"780","x1938","X3300045965_PreDrought_Site3_48hr",0.0404942378658994,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Actinobacteria"
"916","x2038","X3300045940_Drought_Site1_0hr",0.0399402229077191,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Nitrospirae"
"914","x2038","X3300045965_PreDrought_Site3_48hr",0.0390455602118255,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Nitrospirae"
