"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"37","x2049","X3300045920_PreDrought_Site1_48hr",0,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Phylum < 2%"
"39","x2049","X3300045926_Drought_Site2_48hr",0,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Phylum < 2%"
"42","x2049","X3300045932_PreDrought_Site2_6hr",0,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Phylum < 2%"
"43","x2049","X3300045927_Drought_Site2_6hr",0,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Phylum < 2%"
"44","x2049","X3300045936_Drought_Site2_0hr",0,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Phylum < 2%"
"45","x2049","X3300045930_PreDrought_Site2_6hr",0,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Phylum < 2%"
"48","x2049","X3300045928_PreDrought_Site1_0hr",0,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Phylum < 2%"
"49","x2049","X3300045940_Drought_Site1_0hr",0,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Eukaryota","Phylum < 2%"
"52","x2049","X3300045934_PreDrought_Site3_6hr",0,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Eukaryota","Phylum < 2%"
"53","x2049","X3300045929_PreDrought_Site1_48hr",0,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Phylum < 2%"
"54","x2049","X3300045941_PreDrought_Site2_0hr",0,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Phylum < 2%"
"56","x2049","X3300045946_Drought_Site3_48hr",0,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Phylum < 2%"
"57","x2049","X3300045967_PreDrought_Site3_6hr",0,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Eukaryota","Phylum < 2%"
"58","x2049","X3300045953_Drought_Site3_48hr",0,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Phylum < 2%"
"59","x2049","X3300045977_Drought_Site1_0hr",0,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Eukaryota","Phylum < 2%"
