KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K09941,0.050986089,0.199768548,0.332501665,2.025311462,0.008812184,0.033042392,0.436158597,2.784336528
KO:K09942,0.929056072,0.999829032,0.015615458,0.089714913,0.615769132,0.417721766,0.087855403,0.50664996
KO:K09945,0.000527044,0.005304661,0.555836816,3.841058998,0.000397595,0.005270817,0.565718026,3.941071462
KO:K09946,0.294410671,0.676655605,0.182359282,1.065439653,0.360065631,0.324358175,0.15950287,0.92815699
KO:K09948,0.1951122,0.519164372,0.224340542,1.322446384,0.378010711,0.334223087,0.153706012,0.893592713
KO:K09949,2.23E-05,0.000418214,0.651685171,4.935659501,7.52E-05,0.002088225,0.618407776,4.52051772
KO:K09950,0.078684285,0.276429378,0.301211877,1.814605802,0.883071479,0.499595459,0.025793132,0.148219576
KO:K09955,0.832050521,0.999829032,0.03718487,0.213758652,0.291818028,0.287452625,0.183324727,1.071275921
KO:K09957,0.054001008,0.208212842,0.328520291,1.99810647,0.035452608,0.078931912,0.356664688,2.193118652
KO:K09958,0.95646224,0.999829032,-0.009575564,-0.055009949,0.969037352,0.523166826,0.006808237,0.03911125
KO:K09959,0.928464507,0.999829032,0.015746,0.090465097,0.86130783,0.493395839,-0.030637066,-0.176079203
KO:K09965,0.745070364,0.999829032,0.056984597,0.327884378,0.752163374,0.460175947,-0.055347051,-0.318432702
KO:K09966,0.204489292,0.535424203,0.219825843,1.294467114,0.503097816,0.381885035,0.117047854,0.677042536
KO:K09967,0.004608239,0.030947881,0.467724366,3.039879857,0.201146,0.231418679,0.221418646,1.304328216
KO:K09969,0.009663853,0.055975231,0.431420611,2.747126576,0.315563318,0.301295157,0.174677213,1.019112275
KO:K09970,1.94E-06,6.20E-05,0.708265365,5.763433821,0.000914016,0.008557859,0.535604273,3.643487128
KO:K09971,3.01E-11,1.16E-08,0.861677165,9.754441932,2.59E-08,7.59E-06,0.783707246,7.248164797
KO:K09972,0.004732057,0.031560621,0.466489024,3.02961409,0.120625424,0.171679875,0.267269727,1.593309486
KO:K09973,0.051041991,0.199785572,0.332426155,2.02479437,0.159210697,0.202316214,0.243192389,1.440273704
KO:K09974,0.715619884,0.999829032,0.063836638,0.367463057,0.323415988,0.305401424,-0.171907983,-1.002459786
KO:K09978,0.722223185,0.999829032,-0.062292519,-0.358539587,0.106320421,0.160873823,-0.277663023,-1.66033962
KO:K09981,0.343336584,0.742012975,0.165064814,0.961413139,0.043126028,0.090608528,0.343847133,2.10351168
KO:K09983,0.849980498,0.999829032,0.033166819,0.190633752,0.369620082,0.329331779,0.156395671,0.909618048
KO:K09984,0.000443742,0.004659897,0.561904913,3.902189111,0.00164277,0.012595356,0.512574524,3.429268453
KO:K09985,1.70E-05,0.000341787,0.658561765,5.02726272,0.000136368,0.002949551,0.600611506,4.315288892
KO:K09987,0.101671134,0.33416085,0.281267772,1.683733808,0.03287881,0.07448645,0.361470789,2.227079028
KO:K09989,0.045906257,0.18317049,0.339657412,2.074514799,0.952911534,0.519288619,-0.010357329,-0.059501518
KO:K09990,0.005478073,0.035320355,0.459586368,2.972665626,0.001793474,0.013548605,0.508983782,3.396805736
KO:K09991,0.144462886,0.423124476,0.251828909,1.494822421,0.134977329,0.182800398,0.257729895,1.532311604
KO:K09992,0.914909447,0.999829032,-0.018739648,-0.107669987,0.25564478,0.266005032,-0.197416258,-1.156836895
KO:K10001,0.025201462,0.117093125,0.377912527,2.344831853,0.763613447,0.464496436,0.052713242,0.303236111
KO:K10002,1.81E-06,5.94E-05,0.709668758,5.786417729,0.007663033,0.030881676,0.443212375,2.840265503
KO:K10003,6.79E-06,0.000166504,0.680758916,5.338733074,0.097252939,0.152262393,0.284811246,1.706805764
KO:K10004,0.000494588,0.005070185,0.558092153,3.863673853,0.012715,0.04227624,0.416930997,2.635037657
KO:K10005,0.720775047,0.999829032,-0.062630753,-0.360494019,0.995249019,0.528594936,-0.001044428,-0.005999783
KO:K10006,0.387446947,0.79774544,0.150722737,0.875841757,0.120693605,0.171679875,0.26722246,1.593006038
KO:K10007,0.305758431,0.692873638,0.178196216,1.040309506,0.108484542,0.162464671,0.276025677,1.649738707
KO:K10008,0.90620509,0.999829032,0.02066471,0.118735077,0.111414375,0.164819065,0.27384781,1.635662302
KO:K10012,0.736777993,0.999829032,0.058905091,0.338972583,0.104531625,0.159365763,-0.279035531,-1.669237919
KO:K10022,0.043401198,0.17666162,0.343422925,2.100569319,0.042055818,0.088905429,0.345518026,2.115115434
KO:K10026,0.893836439,0.999829032,-0.023404316,-0.1344844,0.434971386,0.357367835,0.136296912,0.790341593
KO:K10039,0.911808915,0.999829032,0.019425105,0.111609793,0.619237736,0.419170476,-0.086996594,-0.501659368
KO:K10085,0.817044129,0.999829032,0.040562057,0.233203198,0.196462172,0.229238759,0.223681394,1.31835586
KO:K10108,0.633895223,0.992984396,0.083389208,0.48070881,0.526932676,0.390663843,-0.110633851,-0.639468634
KO:K10111,0.170796961,0.475117174,0.236804389,1.400161966,0.95659857,0.520053916,-0.009545552,-0.054837518
KO:K10112,0.735201351,0.999829032,-0.059270997,-0.341085609,0.586877597,0.408915229,-0.095090554,-0.548740189
KO:K10117,0.981567489,0.999829032,0.004052415,0.023279544,0.481256717,0.373763696,-0.123061079,-0.712346555
