"","X1","X2","X3"
"693","S1P4.C2",-0.00867,-0.66071
"694",NA,NA,NA
"695",NA,NA,NA
"696","S2P2.C2",0.02079,0.18707
"697",NA,NA,NA
"698","S2P4.C2",0.00801,0.19921
"699",NA,NA,NA
"700","S2P6.C2",-0.000856,0.19939
"701",NA,NA,NA
"702","S3P2.C2",0.0199,0.24249
"703",NA,NA,NA
"704","S3P4.C2",0.03578,0.19906
"705",NA,NA,NA
"706","S3P6.C2",0.0139,0.19896
"707",NA,NA,NA
"708","S1P2.W",-0.00601,0.19653
"709",NA,NA,NA
"710","S1P4.W",0.00747,0.20363
"711",NA,NA,NA
"712","S1P1.C1",0.01914,0.2281
"713",NA,NA,NA
"714",NA,NA,NA
"715","S1P5.C1",0.00178,-0.38395
"716",NA,NA,NA
"717","S2P1.C1",0.00928,0.22045
"718",NA,NA,NA
"719","S2P3.C1",0.03059,0.22056
"720",NA,NA,NA
"721","S2P5.C1",0.01852,0.20826
"722",NA,NA,NA
"723","S3P1.C1",0.04239,0.22025
"724",NA,NA,NA
"725","S3P3.C1",0.02377,0.22015
