"","Label","Time","Time_Flux"
"1169","S1P1.C1","Flux",0.00825
"1170","S1P3.C1","time",0.79073
"1171","S1P3.C1","Flux",-0.01894
"1172","S1P5.C1","time",-1.05161
"1173","S1P5.C1","Flux",-0.00468
"1174","S2P1.C1","time",0.75279
"1175","S2P1.C1","Flux",-0.000632
"1176","S2P3.C1","time",0.83972
"1177","S2P3.C1","Flux",-0.00196
"1178","S2P7.C1","time",0.61587
"1179","S3P1.C1","time",0.7036
"1180","S3P3.C1","time",0.82791
"1181","S3P3.C1","Flux",-0.00423
"1182","S3P5.C1","time",0.81014
"1183","S3P5.C1","Flux",0.00014
"1184","S1P2.C2","time",-1.05141
"1185","S1P2.C2","Flux",-0.00535
"1186","S1P4.C2","time",0.83462
"1187","S1P4.C2","Flux",0.00898
"1188","S1P6.C2","time",0.82649
"1189","S1P6.C2","Flux",0.01646
"1190","S2P8.C2","time",0.62299
"1191","S2P4.C2","time",0.79212
"1192","S2P4.C2","Flux",-0.00124
"1193","S2P6.C2","time",0.86568
"1194","S2P6.C2","Flux",0.00309
"1195","S3P2.C2","time",0.81032
"1196","S3P2.C2","Flux",-0.000689
"1197","S3P4.C2","time",0.77863
"1198","S3P4.C2","Flux",0.03223
"1199","S3P6.C2","time",0.90284
"1200","S3P6.C2","Flux",-0.00469
"1201","S1P1.C1","time",0.79877
"1202","S1P1.C1","Flux",0.00425
"1203","S1P3.C1","time",0.82633
"1204","S1P3.C1","Flux",0.000182
"1205","S1P5.C1","time",-1.03736
"1206","S1P5.C1","Flux",0.00396
"1207","S2P1.C1","time",0.79194
"1208","S2P1.C1","Flux",0.00592
"1209","S2P3.C1","time",0.8773
"1210","S2P3.C1","Flux",-0.00349
"1211","S2P7.C1","time",0.63719
"1212","S3P1.C1","time",0.74282
"1213","S3P1.C1","Flux",0.01282
"1214","S3P3.C1","time",0.867
"1215","S3P3.C1","Flux",0.0024
"1216","S3P5.C1","time",0.84935
"1217","S3P5.C1","Flux",-0.00364
"1218","S1P2.C2","time",-1.03716
"1219","S1P2.C2","Flux",-0.00229
"1220","S1P4.C2","time",0.87376
"1221","S1P4.C2","Flux",0.00106
"1222","S1P6.C2","time",0.86565
