"","Label","Time","Time_Flux"
"825","S1P4.W","time",0.27479
"826","S1P4.W","Flux",0.00979
"827","S1P1.C1","time",0.3242
"828","S1P1.C1","Flux",0.03252
"829","S1P3.C1","time",0.30926
"830","S1P3.C1","Flux",0.03546
"831","S1P5.C1","time",-0.34124
"832","S1P5.C1","Flux",0.00365
"833","S2P1.C1","time",0.31774
"834","S2P1.C1","Flux",0.0033
"835","S2P3.C1","time",0.33616
"836","S2P3.C1","Flux",0.03098
"837","S2P5.C1","time",0.27683
"838","S2P5.C1","Flux",0.02471
"839","S3P1.C1","time",0.31093
"840","S3P1.C1","Flux",0.0736
"841","S3P3.C1","time",0.30825
"842","S3P3.C1","Flux",0.0224
"843","S3P5.C1","time",0.40057
"844","S3P5.C1","Flux",-0.01156
