Mass,Soil_Drought_P11_Site1_0,Soil_Drought_P11_Site1_48,Soil_Drought_P11_Site1_6,Soil_Drought_P12_Site1_0_CTRL,Soil_Drought_P12_Site1_48_CTRL,Soil_Drought_P12_Site1_6_CTRL,Soil_Drought_P15_Site1_0,Soil_Drought_P15_Site1_48,Soil_Drought_P15_Site1_6,Soil_Drought_P24_Site2_0,Soil_Drought_P24_Site2_48,Soil_Drought_P24_Site2_6,Soil_Drought_P26_Site2_0,Soil_Drought_P26_Site2_48,Soil_Drought_P26_Site2_6,Soil_Drought_P34_Site3_0,Soil_Drought_P34_Site3_48,Soil_Drought_P34_Site3_6,Soil_Drought_P35_Site3_0,Soil_Drought_P35_Site3_48,Soil_Drought_P35_Site3_6,Soil_PreDrought_P11_Site1_0,Soil_PreDrought_P11_Site1_48,Soil_PreDrought_P11_Site1_6,Soil_PreDrought_P15_Site1_0,Soil_PreDrought_P15_Site1_48,Soil_PreDrought_P15_Site1_6,Soil_PreDrought_P24_Site2_0,Soil_PreDrought_P24_Site2_48,Soil_PreDrought_P24_Site2_6,Soil_PreDrought_P26_Site2_0,Soil_PreDrought_P26_Site2_48,Soil_PreDrought_P26_Site2_6,Soil_PreDrought_P34_Site3_0,Soil_PreDrought_P34_Site3_48,Soil_PreDrought_P34_Site3_6,Soil_PreDrought_P35_Site3_0,Soil_PreDrought_P35_Site3_48,Soil_PreDrought_P35_Site3_6
516.0784095,0.003868699,-0.00046338,-0.000782932,0.005201744,0.00485572,-0.001052305,0.000294512,-0.001834008,-0.001237174,-0.001789595,-0.001577297,-0.002419234,-0.000582302,-0.001677037,-0.001175292,0.001612023,-0.002700995,-0.001347376,0.000276346,-0.004488246,-0.001471525,-0.00135122,-0.001197859,-0.000951388,0,-0.003890235,-0.001196043,-0.004226599,-0.003080392,-0.006702519,-0.001083885,-0.002299325,-0.001377727,-0.003260196,-0.004046767,-0.003952681,-0.002498796,-0.003518696,-0.001069691
516.0896251,-0.002971468,-0.000952823,-0.000864127,-0.003684449,-0.002891876,-0.002013442,-0.003739441,0,0,-0.002000247,-0.002493124,-0.003571132,-0.002434312,-0.002012911,-0.001387909,0.00126354,0,-0.001561318,-0.002735974,-0.00709335,0,-0.004226134,0,-0.001398266,0,0,0,0,0,0,-0.002079951,-0.00505833,-0.001315304,-0.003825032,0,0,-0.002850295,0,-0.001400679
516.1147648,-0.004108421,-0.001397768,-0.000983997,-0.005447411,-0.002254466,-0.001029642,-0.004366962,-0.002341001,0,0,-0.002212822,-0.003021258,-0.002049845,-0.002014786,-0.001511946,0.00038369,0,0,-0.003440291,0,-0.001951233,-0.003923065,-0.003316218,0,0,0,0,0,-0.002715505,0,-0.00194234,-0.004780913,-0.001390636,-0.005508216,0,0,-0.004650301,-0.004518812,-0.001600409
516.1260374,-0.006083851,-0.001713076,-0.00108453,-0.005225347,-0.002591501,-0.001756155,-0.004865934,-0.002415413,0,0,0,-0.003287048,-0.001700101,-0.002143428,-0.00136285,0.002381042,0,0,-0.002774614,-0.006698127,-0.001778258,0,-0.004393862,-0.001208961,0,0,0,-0.004154352,0,0,-0.001914031,0,-0.001457668,0,0,0,-0.00313119,-0.00441261,-0.001458524
516.1357521,0,-0.002744151,0,-0.007664809,0,-0.002888503,0,0,0,0,0,-0.00362519,-0.00315876,0,0,-0.004255402,0,0,0,0,0,0,0,-0.00135955,0,0,0,0,0,0,-0.002031584,0,0,0,0,0,0,-0.00490986,0
516.15111,0,-0.002883676,0,-0.008931521,-0.004110038,-0.002774355,-0.00560894,0,0,0,-0.001941246,0,-0.004192309,0,0,-0.003135755,0,0,-0.00540198,0,0,0,-0.004283784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516.1722581,0,0,0,-0.006572069,0,-0.003367246,-0.005770169,0,0,0,0,-0.002914999,-0.00396747,0,0,-0.006159116,0,0,-0.005887772,0,0,-0.004709572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003924931,0,0
516.2310451,0,0,0,0.009423987,0,0,-0.006100606,-0.002143525,-0.001356883,-0.00200287,-0.002486185,-0.003499118,0,0,-0.00153299,0,0,0,0,-0.007172271,0,-0.004828056,-0.000712937,-0.001239206,-0.007118779,-0.001852864,-0.001043146,0,-0.001743041,-0.005960975,-0.001983798,-0.004809301,0,0,0,0,0,-0.004625589,-0.001536631
516.2450191,-0.006066429,-0.002754286,0,-0.004465083,-0.003544098,-0.002624843,-0.003361659,-0.001852635,0,-0.001804089,-0.002317708,0,-0.001523078,-0.001924671,0,-0.005513204,-0.003183894,0,-0.002542561,-0.008819425,-0.001909648,-0.002036265,0,-0.001246682,-0.005957668,-0.003989266,-0.001159654,-0.003133443,-0.000562265,-0.005550232,-0.001385801,-0.003812698,0,-0.004796008,-0.003752863,-0.00433975,-0.004159708,-0.003235647,-0.00136878
516.2813784,0,0,0,0,-0.004935149,0,-0.005966933,-0.002325256,0,-0.001939536,0,-0.002876124,-0.004176604,0,0,0,0,0,-0.005971751,0,0,0,0,0,0,0,0,-0.003868911,-0.002640637,0,0,0,0,0,0,0,-0.003862927,0,-0.001767037
