Sample,Pyruv,Condition,Type,Time,Flux
S1P5,C1,pre-drought,sample,1.93848,8.45023
S1P1,C1,drought,sample,0.13557,8.48526
S1P2,C2,pre-drought,sample,0.29502,8.49352
S1P1,C1,pre-drought,sample,0.33043,8.49549
S1P1,C1,drought,sample,1.74774,8.50994
S2P5,C1,drought,sample,1.28434,8.51759
S1P3,C1,drought,sample,0.9356,8.51964
S3P4,C2,pre-drought,sample,0.23521,8.53539
S1P3,C1,pre-drought,sample,0.86547,8.54386
S1P5,C1,pre-drought,sample,0.77953,8.57014
S1P5,C1,pre-drought,sample,-0.65606,8.60983
S3P2,C2,pre-drought,sample,0.05638,8.62425
S2P7,C1,pre-drought,sample,1.27944,8.62845
S1P3,C1,pre-drought,sample,-0.47899,8.64341
S1P3,C1,drought,sample,1.87028,8.64438
S1P1,C1,drought,sample,0.83676,8.69153
S2P8,C2,pre-drought,sample,1.86326,8.72758
S1P2,C2,pre-drought,sample,0.22014,8.7299
S1P1,C1,drought,sample,1.3658,8.74448
S2P6,C2,pre-drought,sample,-0.58602,8.77832
S3P1,C1,drought,sample,0.92193,8.78162
S1P4,C2,drought,sample,-0.58242,8.78633
S3P1,C1,pre-drought,sample,0.74282,8.79444
S1P3,C1,pre-drought,sample,-0.6523,8.79489
S3P2,C2,pre-drought,sample,1.88122,8.81828
S3P3,C1,drought,sample,0.50721,8.86285
S1P2,C2,pre-drought,sample,-0.86273,8.89058
S1P3,C1,pre-drought,sample,4.14313,8.89529
S3P4,C2,pre-drought,sample,0.51837,8.92318
S1P2,C2,pre-drought,sample,-1.14046,8.98137
S1P4,C2,drought,sample,-1.62777,9.00995
S1P2,C2,pre-drought,sample,-0.21111,9.01149
S1P2,C2,pre-drought,sample,0.15949,9.03845
S3P4,C2,pre-drought,sample,0.81784,9.04014
S1P4,C2,pre-drought,sample,0.4248,9.0587
S1P6,C2,pre-drought,sample,0.23512,9.06077
S1P2,C2,drought,sample,-0.56874,9.08065
S3P3,C1,drought,sample,0.429,9.14817
S1P3,C1,drought,sample,1.04948,9.15052
S2P6,C2,pre-drought,sample,1.45508,9.19949
S1P2,C2,drought,sample,0.04235,9.22164
S1P3,C1,drought,sample,0.46581,9.23952
S1P6,C2,pre-drought,sample,0.10321,9.28156
S1P2,C2,pre-drought,sample,-0.83419,9.29642
S1P5,C1,pre-drought,sample,1.89924,9.30157
S1P2,C2,pre-drought,sample,0.44205,9.30953
S1P2,C2,pre-drought,sample,0.33177,9.31429
S1P1,C1,drought,sample,0.40251,9.34345
S1P4,C2,drought,sample,0.13575,9.38173
S2P6,C2,pre-drought,sample,1.0522,9.46377
S1P5,C1,drought,sample,0.09189,9.48273
S1P2,C2,pre-drought,sample,-0.89126,9.5021
S1P6,C2,drought,sample,0.01411,9.50652
S1P5,C1,pre-drought,sample,1.15965,9.52586
S1P5,C1,pre-drought,sample,0.08799,9.52598
S1P1,C1,drought,sample,1.32515,9.54667
S3P5,C1,drought,sample,1.0994,9.55125
S2P7,C1,pre-drought,sample,1.99148,9.55185
S3P1,C1,drought,sample,0.31093,9.56285
S1P4,C2,pre-drought,sample,1.41868,9.60427
S3P2,C2,pre-drought,sample,0.28106,9.64429
S1P5,C1,drought,sample,0.37656,9.6715
S1P1,C1,drought,sample,1.82413,9.67335
S1P6,C2,pre-drought,sample,0.26002,9.67381
S3P6,C2,pre-drought,sample,0.7925,9.76858
S1P5,C1,pre-drought,sample,1.48955,9.8231
S1P5,C1,pre-drought,sample,-1.20125,9.86932
S2P6,C2,pre-drought,sample,0.77691,9.90866
S3P3,C1,pre-drought,sample,0.49325,9.91116
S2P7,C1,pre-drought,sample,0.45918,9.9219
S2P4,C2,pre-drought,sample,1.11119,9.93999
S2P3,C1,drought,sample,1.04953,9.95524
S2P1,C1,pre-drought,sample,0.32407,9.98697
S3P6,C2,drought,sample,-0.27758,10.00505
S1P5,C1,drought,sample,0.22689,10.00564
S1P5,C1,pre-drought,sample,-0.56726,10.01215
S2P1,C1,drought,sample,0.19904,10.04713
S2P7,C1,pre-drought,sample,0.19207,10.08907
S2P6,C2,drought,sample,1.87181,10.0975
S1P5,C1,pre-drought,sample,-1.03736,10.09982
S2P8,C2,pre-drought,sample,0.7547,10.11461
S2P6,C2,pre-drought,sample,0.28152,10.16872
S1P3,C1,pre-drought,sample,1.97691,10.18882
S3P2,C2,pre-drought,sample,0.10272,10.20646
S1.2W,C2,drought,water,0.42428,10.22833
S1P5,C1,pre-drought,sample,-1.57144,10.26347
S2P1,C1,pre-drought,sample,11.46711,10.27756
S2P1,C1,pre-drought,sample,9.82293,10.28076
S1.4W,C2,drought,water,1.8639,10.30288
S2P3,C1,pre-drought,sample,0.22545,10.30808
S1P1,C1,pre-drought,sample,0.75959,10.31048
S2P5,C1,drought,sample,0.74646,10.36668
S1P5,C1,pre-drought,sample,0.23422,10.4121
S3P1,C1,drought,sample,0.05666,10.41223
S1P1,C1,drought,sample,1.93617,10.50916
S1P4,C2,pre-drought,sample,0.94854,10.54169
S3P3,C1,pre-drought,sample,2.47209,10.54537
S3P2,C2,pre-drought,sample,1.2886,10.66147
S3P3,C1,pre-drought,sample,1.43122,10.66639
S2P3,C1,drought,sample,-0.54355,10.6733
S2P3,C1,drought,sample,1.44444,10.68499
S3P6,C2,pre-drought,sample,2.39752,10.7008
S1P3,C1,pre-drought,sample,0.52723,10.70374
S1P5,C1,pre-drought,sample,1.71396,10.71595
S3P6,C2,drought,sample,-0.04285,10.72343
S3P4,C2,pre-drought,sample,1.45569,10.76726
S2P4,C2,drought,sample,-0.57789,10.78253
S3P6,C2,pre-drought,sample,0.82811,10.81504
S1P2,C2,drought,sample,0.1347,10.81909
S2P6,C2,pre-drought,sample,0.14615,10.85642
S1P2,C2,pre-drought,sample,-0.53514,10.91817
S2P1,C1,drought,sample,1.41677,10.92669
S3P6,C2,pre-drought,sample,0.17134,10.94513
S2P1,C1,pre-drought,sample,15.95685,10.96212
S2P6,C2,pre-drought,sample,1.00938,10.98816
S2P4,C2,pre-drought,sample,0.28146,10.99279
S1P5,C1,pre-drought,sample,0.49523,11.02296
S2P1,C1,pre-drought,sample,0.45358,11.107
S1P3,C1,pre-drought,sample,0.32397,11.10748
S1P3,C1,drought,sample,-0.51421,11.22397
S3P6,C2,pre-drought,sample,1.71267,11.26507
S1P5,C1,pre-drought,sample,-0.97076,11.26773
S1P6,C2,pre-drought,sample,0.14601,11.28636
S3P2,C2,pre-drought,sample,0.32579,11.33973
S1P3,C1,pre-drought,sample,-0.04495,11.36955
S3P1,C1,drought,sample,0.53999,11.40014
S3P4,C2,pre-drought,sample,1.14369,11.45782
S3P5,C1,drought,sample,0.17817,11.46247
S2P8,C2,pre-drought,sample,0.534,11.47021
