Sample,Pyruv,Condition,Type,Time,Flux
S3P6_C2,C2,pre-drought,sample,0.21414,-10.51486
S2P6_C2,C2,pre-drought,sample,1.94289,-10.58883
S2P6_C2,C2,pre-drought,sample,1.0522,-10.5906
S2P8_C2,C2,pre-drought,sample,1.26524,-10.64723
S1P1_C1,C1,pre-drought,sample,1.04969,-10.68354
S3P6_C2,C2,pre-drought,sample,1.04316,-10.6908
S1P4_C2,C2,pre-drought,sample,-0.07598,-10.69453
S1P1_C1,C1,drought,sample,1.3651,-10.70892
S1P5_C1,C1,pre-drought,sample,-1.20125,-10.78664
S3P4_C2,C2,pre-drought,sample,0.12472,-10.83029
S3P6_C2,C2,drought,sample,1.76088,-10.86433
S3P5_C1,C1,pre-drought,sample,1.91668,-10.8987
S1P1_C1,C1,pre-drought,sample,-0.25434,-10.90456
S3P3_C1,C1,pre-drought,sample,0.41844,-10.93604
S1P2_C2,C2,pre-drought,sample,0.85446,-10.93649
S1P2_C2,C2,pre-drought,sample,0.85446,-10.93649
S1P4_C2,C2,pre-drought,sample,0.4248,-10.93984
S2P7_C1,C1,pre-drought,sample,0.1244,-10.9595
S1P5_C1,C1,pre-drought,sample,0.20568,-10.96027
S3P1_C1,C1,drought,sample,1.14226,-10.96521
S1P5_C1,C1,pre-drought,sample,0.92906,-11.0659
S2P7_C1,C1,pre-drought,sample,0.14576,-11.18777
S2P6_C2,C2,drought,sample,1.52299,-11.19622
S2P1_C1,C1,pre-drought,sample,0.8276,-11.23694
S3P3_C1,C1,pre-drought,sample,0.49325,-11.2461
S1P2_C2,C2,pre-drought,sample,-1.05141,-11.25456
S1P2_C2,C2,pre-drought,sample,-1.05141,-11.25456
S1P1_C1,C1,pre-drought,sample,0.72396,-11.2799
S1P5_C1,C1,drought,sample,0.73914,-11.29396
S1P5_C1,C1,pre-drought,sample,0.11649,-11.32883
S2P8_C2,C2,pre-drought,sample,1.24032,-11.37334
S1P5_C1,C1,pre-drought,sample,0.7938,-11.39515
S1P2W,C2,drought,water,1.17814,-11.40817
S2P7_C1,C1,pre-drought,sample,1.1691,-11.42159
S3P3_C1,C1,pre-drought,sample,-0.27639,-11.42245
S3P1_C1,C1,drought,sample,-0.68292,-11.45772
S1P5_C1,C1,pre-drought,sample,1.86359,-11.50171
S1P4_C2,C2,pre-drought,sample,-0.22564,-11.53623
S2P6_C2,C2,pre-drought,sample,0.30757,-11.54188
S2P6_C2,C2,pre-drought,sample,0.14615,-11.56037
S2P8_C2,C2,pre-drought,sample,1.04301,-11.56752
S2P1_C1,C1,pre-drought,sample,-0.00742,-11.61369
S3P3_C1,C1,pre-drought,sample,0.10339,-11.67284
S2P3_C1,C1,pre-drought,sample,0.06868,-11.69341
S3P2_C2,C2,pre-drought,sample,-0.16334,-11.70873
S1P3_C1,C1,pre-drought,sample,4.10027,-11.71926
S1P2_C2,C2,pre-drought,sample,-1.21531,-11.75324
S1P2_C2,C2,pre-drought,sample,-1.21531,-11.75324
S2P3_C1,C1,drought,sample,-0.1616,-11.76509
S1P1_C1,C1,pre-drought,sample,0.53512,-11.80854
S2P7_C1,C1,pre-drought,sample,0.72618,-11.8115
S3P2_C2,C2,pre-drought,sample,-0.5366,-11.81358
S1P1_C1,C1,drought,sample,-0.53278,-11.85574
S3P1_C1,C1,drought,sample,0.01392,-11.8609
S3P3_C1,C1,pre-drought,sample,-0.05207,-11.88
S2P1_C1,C1,drought,sample,1.05734,-11.9179
S1P4_C2,C2,pre-drought,sample,-0.52488,-11.93283
S1P1_C1,C1,drought,sample,0.18535,-11.95052
S2P1_C1,C1,pre-drought,sample,16.02764,-12.01832
S2P6_C2,C2,drought,sample,0.88488,-12.06054
S2P3_C1,C1,drought,sample,-0.08523,-12.07862
S2P4_C2,C2,pre-drought,sample,0.12471,-12.08593
S3P1_C1,C1,pre-drought,sample,0.05684,-12.09755
S3P5_C1,C1,pre-drought,sample,1.09597,-12.1115
S3P3_C1,C1,drought,sample,0.17743,-12.13714
S3P6_C2,C2,pre-drought,sample,0.34396,-12.14189
S3P2_C2,C2,drought,sample,1.24918,-12.17513
S2P7_C1,C1,pre-drought,sample,1.4787,-12.18005
