Sample,Pyruv,Condition,Type,Time,Flux
S2P8,C2,pre-drought,sample,1.86326,27.57934
S2P2,C2,drought,sample,0.16569,27.69882
S2P5,C1,drought,sample,-0.69888,27.89762
S2P1,C1,pre-drought,sample,15.49392,28.13932
S1.4W,C2,drought,water,0.33888,28.49235
S2P1,C1,pre-drought,sample,12.20766,28.60996
S2P6,C2,drought,sample,0.05705,28.64978
S2P1,C1,drought,sample,0.10652,28.75954
S1P4,C2,drought,sample,1.90069,28.88139
S1P2,C2,pre-drought,sample,0.97919,28.97773
S1.2W,C2,drought,water,0.51685,28.98469
S3P6,C2,pre-drought,sample,2.97787,29.13561
S1P3,C1,drought,sample,-0.20083,29.21584
S2P1,C1,drought,sample,0.51705,29.21993
S2P6,C2,drought,sample,0.12816,29.39821
S1.4W,C2,drought,water,1.3697,29.44512
S1P5,C1,drought,sample,0.49034,29.71496
S2P1,C1,drought,sample,0.14927,30.00284
S1P2,C2,drought,sample,-0.66125,30.11678
S2P1,C1,drought,sample,1.80836,30.15624
S1.2W,C2,drought,water,0.0115,30.27035
S1P2,C2,drought,sample,0.37672,30.28966
S3P1,C1,drought,sample,-0.68292,30.89124
S1P5,C1,drought,sample,0.21267,30.93377
S3P3,C1,drought,sample,1.22248,31.02124
S1P3,C1,pre-drought,sample,1.48914,31.13209
S1P4,C2,drought,sample,1.1564,31.14975
S1P5,C1,drought,sample,-0.54042,31.21467
S1P1,C1,pre-drought,sample,0.193,31.36634
S3P3,C1,drought,sample,1.52594,31.50285
S3P4,C2,drought,sample,0.31109,31.5899
S2P3,C1,drought,sample,0.12799,31.90063
S2P1,C1,pre-drought,sample,1.36402,31.98986
S3P5,C1,drought,sample,0.01455,32.02502
S1P1,C1,pre-drought,sample,0.33043,32.0713
S1.4W,C2,drought,water,0.98639,32.07243
S1P4,C2,drought,sample,0.11439,32.13852
S2P3,C1,drought,sample,0.33616,32.19218
S1P1,C1,drought,sample,0.2281,32.44323
S2P3,C1,drought,sample,-0.69624,32.74523
S1P3,C1,pre-drought,sample,1.22764,32.7831
S1.4W,C2,drought,water,1.80479,32.85536
S2P1,C1,drought,sample,1.41677,33.30289
S2P8,C2,pre-drought,sample,1.93097,33.48942
S2P8,C2,pre-drought,sample,1.93097,33.48942
S1P2,C2,drought,sample,1.37934,33.52045
S1P6,C2,drought,sample,0.03546,33.6298
S2P1,C1,drought,sample,0.12791,33.7728
S3P6,C2,pre-drought,sample,-0.02815,33.79535
S1P5,C1,drought,sample,-0.58317,34.01011
S1P5,C1,drought,sample,0.45475,34.01959
S2P1,C1,drought,sample,0.43867,34.10121
S3P2,C2,drought,sample,0.12861,34.16029
S1.2W,C2,drought,water,0.31041,34.16502
S1P3,C1,pre-drought,sample,0.94025,34.38814
S2P8,C2,pre-drought,sample,0.91127,34.44288
S2P8,C2,pre-drought,sample,0.91127,34.44288
