"","X1","X2","X3"
"749","S1P2.C2",0.00606,-1.26161
"750",NA,NA,NA
"751","S1P4.C2",-0.000558,0.33061
"752",NA,NA,NA
"753","S1P6.C2",-0.00573,0.32416
"754",NA,NA,NA
"755","S2P8.C2",0.01601,0.30966
"756",NA,NA,NA
"757","S2P4.C2",0.00293,0.30286
"758",NA,NA,NA
"759","S2P6.C2",0.00966,0.28152
"760",NA,NA,NA
"761","S3P2.C2",-0.00151,0.30247
"762",NA,NA,NA
"763","S3P4.C2",0.00882,0.30292
"764",NA,NA,NA
"765","S3P6.C2",0.02704,0.37954
"766",NA,NA,NA
"767","S1P1.C1",0.00186,0.29477
"768",NA,NA,NA
"769","S1P3.C1",0.00753,0.32397
"770",NA,NA,NA
"771","S1P5.C1",0.01175,-1.24755
"772",NA,NA,NA
"773","S2P1.C1",0.00328,0.30267
"774",NA,NA,NA
"775","S2P3.C1",-0.01256,0.29314
"776",NA,NA,NA
"777","S2P7.C1",-0.00336,0.32389
"778",NA,NA,NA
"779","S3P1.C1",-0.0089,0.28135
"780",NA,NA,NA
"781","S3P3.C1",-0.00932,0.34375
"782",NA,NA,NA
"783","S3P5.C1",1.65e-05,0.32558
"784",NA,NA,NA
"785","S1P2.C2",-0.000842,-1.24737
"786",NA,NA,NA
"787","S1P4.C2",0.00466,0.34993
"788",NA,NA,NA
"789","S1P6.C2",0.0016,0.34215
"790",NA,NA,NA
"791","S2P8.C2",0.00176,0.33103
"792",NA,NA,NA
"793","S2P4.C2",0.0115,0.32426
"794",NA,NA,NA
"795","S2P6.C2",0.01124,0.30757
"796",NA,NA,NA
"797","S3P2.C2",0.00557,0.32579
"798",NA,NA,NA
"799","S3P4.C2",0.004,0.32431
"800",NA,NA,NA
"801","S3P6.C2",0.01746,0.41865
"802",NA,NA,NA
"803","S1P1.C1",0.00684,0.33043
"804",NA,NA,NA
"805","S1P3.C1",0.01114,0.34196
"806",NA,NA,NA
"807","S1P5.C1",0.000285,-1.22977
"808",NA,NA,NA
"809","S2P1.C1",0.00693,0.32407
"810",NA,NA,NA
"811","S2P3.C1",0.00135,0.3192
"812",NA,NA,NA
"813","S2P7.C1",-0.00492,0.3488
"814",NA,NA,NA
"815","S3P1.C1",0.00722,0.30275
"816",NA,NA,NA
"817","S3P3.C1",-0.00448,0.37933
"818",NA,NA,NA
"819","S3P5.C1",-0.00361,0.36125
"820",NA,NA,NA
"821","S1P2.C2",0.00207,-1.22959
"822",NA,NA,NA
"823","S1P4.C2",0.01462,0.38561
"824",NA,NA,NA
"825","S1P6.C2",0.009,0.37781
"826",NA,NA,NA
"827","S2P8.C2",-0.00412,0.35594
"828",NA,NA,NA
"829","S2P4.C2",0.01197,0.34347
"830",NA,NA,NA
"831","S2P6.C2",-0.00598,0.34316
"832",NA,NA,NA
"833","S3P2.C2",0.01589,0.36145
"834",NA,NA,NA
"835","S3P4.C2",0.04809,0.34922
"836",NA,NA,NA
"837","S3P6.C2",0.01596,0.45426
"838",NA,NA,NA
"839","S1P1.C1",-0.00931,0.34973
"840",NA,NA,NA
