"","Label","Time","Time_Flux"
"2153","S3P4.C2","time",1.80319
"2154","S3P4.C2","Flux",-0.00153
"2155","S3P6.C2","time",1.93334
"2156","S3P6.C2","Flux",0.00176
"2157","S1P1.C1","time",1.75706
"2158","S1P1.C1","Flux",0.00137
"2159","S1P3.C1","time",1.78823
"2160","S1P3.C1","Flux",-0.02058
"2161","S1P5.C1","time",-0.68461
"2162","S1P5.C1","Flux",0.00298
"2163","S2P1.C1","time",1.69904
"2164","S2P1.C1","Flux",0.02326
"2165","S2P3.C1","time",1.80497
"2166","S2P3.C1","Flux",0.00199
"2167","S2P7.C1","time",1.14985
"2168","S2P7.C1","Flux",0.00165
"2169","S3P1.C1","time",1.71602
"2170","S3P1.C1","Flux",0.00141
"2171","S3P3.C1","time",1.87617
"2172","S3P3.C1","Flux",-0.00802
"2173","S3P5.C1","time",1.76704
"2174","S3P5.C1","Flux",-0.00852
"2175","S1P2.C2","time",-0.65588
"2176","S1P2.C2","Flux",-0.00689
"2177","S1P4.C2","time",1.83211
"2178","S1P4.C2","Flux",0.000102
"2179","S1P6.C2","time",1.90225
"2180","S1P6.C2","Flux",-0.01003
"2181","S2P8.C2","time",1.15698
"2182","S2P8.C2","Flux",-0.00209
"2183","S2P4.C2","time",1.81322
"2184","S2P4.C2","Flux",-0.00423
"2185","S2P6.C2","time",1.86811
"2186","S2P6.C2","Flux",0.01343
"2187","S3P2.C2","time",1.80638
"2188","S3P2.C2","Flux",-0.00205
"2189","S3P4.C2","time",1.85612
"2190","S3P4.C2","Flux",-0.00629
"2191","S3P6.C2","time",1.97963
"2192","S3P6.C2","Flux",0.00178
"2193","S1P1.C1","time",1.79271
"2194","S1P1.C1","Flux",0.00135
"2195","S1P3.C1","time",1.8274
"2196","S1P3.C1","Flux",0.00673
"2197","S1P5.C1","time",-0.6703
"2198","S1P5.C1","Flux",0.00338
"2199","S2P1.C1","time",1.73821
"2200","S2P1.C1","Flux",0.00972
"2201","S2P3.C1","time",1.84057
"2202","S2P3.C1","Flux",-0.00226
"2203","S2P7.C1","time",1.1691
"2204","S2P7.C1","Flux",-0.00343
"2205","S3P1.C1","time",1.7672
"2206","S3P1.C1","Flux",-0.0102
"2207","S3P3.C1","time",1.9189
"2208","S3P3.C1","Flux",-0.00118
"2209","S3P5.C1","time",1.80619
"2210","S3P5.C1","Flux",0.00391
"2211","S1P2.C2","time",-0.64166
"2212","S1P2.C2","Flux",-0.01014
"2213","S1P4.C2","time",1.86778
"2214","S1P4.C2","Flux",0.00532
"2215","S1P6.C2","time",1.93792
"2216","S1P6.C2","Flux",-0.0076
"2217","S2P8.C2","time",1.17623
"2218","S2P8.C2","Flux",-0.01414
"2219","S2P4.C2","time",1.84884
"2220","S2P4.C2","Flux",-0.00608
"2221","S2P6.C2","time",1.90374
"2222","S2P6.C2","Flux",-0.0052
"2223","S3P2.C2","time",1.84204
"2224","S3P2.C2","Flux",-0.00789
"2225","S3P4.C2","time",1.89184
"2226","S3P4.C2","Flux",0.00532
"2227","S3P6.C2","time",2.02236
"2228","S3P6.C2","Flux",0.00293
"2229","S1P1.C1","time",1.83191
"2230","S1P1.C1","Flux",0.01375
"2231","S1P3.C1","time",1.863
"2232","S1P3.C1","Flux",0.00527
"2233","S1P5.C1","time",-0.65606
