"","Condition","Site","Set","Time","fCO2_13_C1","fCO2_13_C2","fCO2_13_py_C1","fCO2_13_py_C2","C1_C2_diff_fCO2_13_py","C1_C2_ratio_sum_fCO2_13_py"
"143","pre_drought","Site2","Set4","42",273.546811259528,374.72334582375,214.922055074443,39.2966449143423,175.6254101601,0.845421894942914
"144","pre_drought","Site2","Set4","48",181.486033404549,374.138248655613,114.991217275094,40.0072772247306,74.9839400503632,0.741886026997663
"145","pre_drought","Site3","Set1","3",964.687356077868,242.743413169554,811.107797702335,107.037075465367,704.070722236968,0.883420276479814
"146","pre_drought","Site3","Set1","6",1400.19150105725,388.631822945678,1225.63365837508,235.625432744735,990.008225630348,0.838751776343669
"147","pre_drought","Site3","Set1","12",2054.19613485739,404.132317070782,1864.28802227837,265.468870753201,1598.81915152517,0.87535250073762
"148","pre_drought","Site3","Set1","18",1091.06836447205,309.766433835427,1004.19569566203,220.482117308969,783.713578353058,0.819967247733432
"149","pre_drought","Site3","Set1","24",640.415899960984,285.103744496176,510.653126432313,164.731790845237,345.921335587076,0.756091990461877
"150","pre_drought","Site3","Set1","30",454.479584235635,277.01504375217,275.313491941883,127.596278460209,147.717213481673,0.683313019853373
"151","pre_drought","Site3","Set1","36",316.803796833364,261.70869385939,172.642088731757,118.507245355467,54.1348433762894,0.592967486163083
"152","pre_drought","Site3","Set1","42",172.867623057928,174.708720797489,89.5487653975931,83.0633024934034,6.48546290418967,0.51878623836511
"153","pre_drought","Site3","Set1","48",252.531144420467,160.272944792167,44.5298443601719,56.2766995978841,-11.7468552377121,0.441735651394815
"154","pre_drought","Site3","Set2","3",637.145501695245,230.035723635614,476.011092481516,136.146663551544,339.864428929972,0.777595460957957
"155","pre_drought","Site3","Set2","6",1126.66978102779,388.7492444707,945.218778507455,280.770497158724,664.448281348732,0.770984540622382
"156","pre_drought","Site3","Set2","12",1284.61311488974,494.417095469811,1113.17244912118,360.24317256354,752.929276557644,0.755504714853211
