S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
1.32515,0.01853,1.28688,0.01437,0.05641,0.00236,1.33846,0.00685,1.3235,-4.59E-04,1.23455,0.01593,1.31479,0.02567,1.3267,,1.41027,-0.00269,0.05657,,0.55942,0.06356,1.36528,0.3244,1.29876,0.26749,1.33863,0.49929,1.32369,0.07733,1.41046,0.15119,1.31495,0.58556,1.32689,0.18344,0.84396,,0.85109,
1.3658,0.02142,1.3225,0.03879,0.07061,0.00612,1.38111,-0.00466,1.36616,,1.28434,0.01263,1.35047,0.01723,1.36935,,1.45295,-0.01027,0.07078,,0.60206,0.06751,1.40086,0.39659,1.34148,0.18955,1.38128,0.49901,1.36635,,1.45316,0.1984,1.35064,0.47231,1.36954,0.15598,0.86534,,0.87245,
1.40149,-0.00255,1.3651,0.0307,0.09189,-0.00821,1.41677,0.0047,1.40175,0.01484,1.32707,0.01505,1.39317,,1.40497,-0.01223,1.48863,0.00386,0.09205,-0.00858,0.63775,0.05772,1.44344,0.31228,1.39127,0.13719,1.41694,0.49251,1.40194,0.06413,1.48884,0.18429,1.39333,0.42944,1.40515,0.14715,0.88671,,0.89383,
1.44218,0.00888,1.40067,0.03958,0.1061,,1.45944,-0.00682,1.44444,0.02079,1.37685,-4.87E-04,1.42883,0.00902,1.44764,-0.01689,1.53133,-0.00156,0.10626,0.00254,0.68039,0.07081,1.47903,0.33337,1.43403,0.10246,1.45962,0.42079,1.44464,0.0317,1.53153,0.16629,1.429,0.48541,1.44782,0.13988,0.91512,,0.92227,
1.47785,0.00625,1.44325,0.02111,0.12034,,1.49513,0.00423,1.48006,0.01672,1.41959,0.01187,1.47155,0.00906,1.48326,-0.01451,1.56699,,0.12049,,0.71603,0.06174,1.52164,0.34289,1.48383,0.10175,1.4953,0.38727,1.48027,0.02797,1.5672,0.15328,1.47171,0.40501,1.48345,0.15426,0.93654,,0.94363,
1.51855,0.00758,1.47885,0.02384,0.13454,,1.53781,-0.00465,1.52279,0.01284,1.46941,0.00894,1.50721,,1.52594,-0.01535,1.60966,,0.1347,0.01239,0.75866,0.06588,1.55723,0.34113,1.52659,0.1137,1.53799,0.4338,1.52299,0.02656,1.60987,,1.50737,0.40899,1.52612,0.14355,0.95789,,0.96501,-0.00385
1.55422,0.01395,1.52147,0.02915,0.14875,0.00433,1.57348,0.00115,1.55843,0.00422,1.51216,0.01247,1.54992,0.0139,1.56154,-0.00613,1.64538,,0.14891,0.00781,0.79429,0.06245,1.59986,0.01409,1.57632,0.10152,1.57366,0.41474,1.55862,0.02304,1.64558,,1.55009,0.49332,1.56172,0.14547,0.97927,-2.10E-04,0.98639,
1.59499,-5.37E-04,1.55705,0.01651,0.16296,0.00183,1.61615,-0.0048,1.60116,-0.01028,1.56192,0.00532,1.5856,0.02409,1.60411,0.01103,1.68806,,0.16314,0.00523,0.83696,0.06836,1.63544,,1.61903,,1.61634,0.44424,1.60135,-0.01455,1.68825,,1.58578,-3.87E-04,1.60429,-6.25E-04,1.00771,-0.00885,1.01481,-2.74E-04
1.63067,,1.59968,0.00911,0.18421,0.00558,1.65182,6.58E-04,1.63678,,1.60463,,1.62826,,1.63976,,1.72373,,0.18438,0.02064,0.8726,0.06518,1.67816,0.36509,1.66873,,1.65199,0.4119,1.63696,,1.72394,,1.6284,,1.63994,0.14749,1.0599,0.00473,1.06701,-0.00319
1.67135,0.01336,1.63527,,0.19843,0.00355,1.69446,,1.67947,0.01419,1.65432,,1.66385,0.01685,1.68242,-0.01291,1.76637,,0.1986,0.02206,0.91525,0.06965,1.71382,0.3235,1.71146,,1.69463,0.36916,1.67966,0.05327,1.76657,,1.66402,0.42551,1.6826,0.14358,1.11903,0.00135,1.12613,0.01073
1.707,-0.00202,1.67797,0.03007,0.21267,-0.00559,1.73009,,1.71508,0.01459,1.69704,,1.70659,0.02309,1.71804,3.02E-06,1.80201,,0.21282,8.41E-04,0.95091,0.07853,1.7565,0.33482,1.76119,,1.73027,0.32013,1.71528,0.05118,1.80221,,1.70674,0.38891,1.71823,0.13722,1.17814,0.01329,1.18524,-0.00999
1.74774,,1.71363,0.01631,0.22689,2.70E-04,1.77272,,1.75775,0.01406,1.74682,,1.74223,0.01424,1.76069,-0.01154,1.84465,,0.22705,0.01667,1.0212,0.07741,1.79218,0.32885,1.80396,,1.77289,0.3361,1.75792,0.04823,1.84486,,1.74241,0.41902,1.76088,0.13775,1.24434,0.00602,1.25145,0.00106
1.78341,0.00452,1.75632,0.02305,0.24111,-0.00699,1.80836,-0.00545,1.79333,0.0151,1.78954,,1.78493,0.01438,1.79631,-0.00565,1.8803,,0.24128,0.08454,1.06392,0.08084,1.83479,0.32522,1.85368,,1.80853,0.32332,1.7935,0.02919,1.8805,,1.7851,0.44134,1.79649,0.13195,1.30344,-0.00485,1.31054,0.00172
1.82413,0.00388,1.79199,0.01689,0.25534,,1.85102,,1.83597,,1.83927,,1.82059,0.01398,1.83899,-0.00381,1.92297,,0.2555,0.07107,1.11366,0.08168,1.87046,0.31291,1.89645,,1.85119,0.2954,1.83617,0.0355,1.92317,,1.82075,0.45041,1.83918,0.11742,1.36259,0.00217,1.3697,0.00331
1.85981,,1.83464,0.01894,0.27657,0.00903,1.88667,,1.87161,0.01088,1.88201,,1.8633,6.11E-04,1.87462,-0.00436,1.95865,-0.00574,0.27674,0.10365,1.1564,0.09971,1.91308,,1.94625,,1.88684,0.36798,1.87181,0.02683,1.95884,0.14795,1.86347,0.27962,1.87481,0.12629,1.42877,0.00828,1.43589,0.01684
1.9005,0.00197,1.87028,0.02841,0.29079,0.00613,1.92932,,1.91428,0.00986,1.93183,,1.89898,0.0189,1.91726,0.00556,,,0.29095,0.10938,1.20617,0.10809,1.94868,,1.989,0.16812,1.92949,0.37081,1.91444,0.02399,,,1.89916,0.35944,1.91744,0.1094,1.48791,0.00769,1.49501,0.00461
