S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
1.85981,0.01144,1.83464,,0.27657,0.00719,1.88667,,1.87161,0.01682,1.88201,,1.8633,0.00674,1.87462,-0.01138,1.95865,0.00528,0.27674,0.00937,1.1564,0.02566,1.91308,,1.94625,,1.88684,0.02143,1.87181,,1.95884,-0.00494,1.86347,0.01065,1.87481,,1.42877,0.00489,1.43589,0.00966
1.9005,0.00469,1.87028,0.0185,0.29079,0.01178,1.92932,0.00378,1.91428,0.00407,1.93183,,1.89898,0.00535,1.91726,,,,0.29095,0.023,1.20617,0.01542,1.94868,,1.989,0.01058,1.92949,0.00606,1.91444,-0.01614,,,1.89916,0.01365,1.91744,,1.48791,,1.49501,
1.93617,0.00379,1.91291,,0.30501,0.02127,1.96498,0.00302,1.94984,,1.97457,,1.94168,0.01063,1.95284,,,,0.30517,0.01261,1.24894,0.01485,,,,,1.96515,-5.57E-04,1.95,,,,1.94185,0.00131,1.95302,0.00248,1.54704,,1.55414,
1.97689,-2.26E-04,1.94851,,0.31922,0.01173,,,,,2.02438,,1.97733,0.00341,,,,,0.31939,0.00969,1.2897,0.00994,,,,,,,,,,,,,,,1.61324,,1.62037,
,,,,0.33345,0.01949,,,,,,,,,,,,,0.33361,0.01059,1.32536,0.008,,,,,,,,,,,,,,,1.67236,,1.67948,
,,,,0.34767,0.01644,,,,,,,,,,,,,0.34785,0.02287,1.36601,-0.0028,,,,,,,,,,,,,,,1.7315,,1.73862,
,,,,0.37656,-3.58E-04,,,,,,,,,,,,,0.37672,0.01101,1.40169,0.00256,,,,,,,,,,,,,,,1.79767,5.29E-04,1.80479,2.49E-04
,,,,0.39079,0.02166,,,,,,,,,,,,,0.39096,0.01608,1.44237,0.01215,,,,,,,,,,,,,,,1.85679,,1.8639,
,,,,0.41215,0.02016,,,,,,,,,,,,,0.41231,-1.95E-04,1.47804,0.01885,,,,,,,,,,,,,,,1.91595,,1.92306,
,,,,0.42638,0.01803,,,,,,,,,,,,,0.42655,0.00526,1.51875,8.52E-05,,,,,,,,,,,,,,,,,,
