S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
1.97689,0.0016,1.94851,,0.31922,0.01373,,,,,2.02438,0.00748,1.97733,0.02492,,,,,0.31939,0.00554,1.2897,-0.00473,,,,,,,,,,,,,,,1.61324,0.00444,1.62037,0.00335
,,,,0.33345,0.0258,,,,,,,,,,,,,0.33361,,1.32536,-0.00231,,,,,,,,,,,,,,,1.67236,,1.67948,
,,,,0.34767,0.02103,,,,,,,,,,,,,0.34785,0.00455,1.36601,0.00556,,,,,,,,,,,,,,,1.7315,0.01156,1.73862,
,,,,0.37656,,,,,,,,,,,,,,0.37672,-0.00885,1.40169,0.00481,,,,,,,,,,,,,,,1.79767,,1.80479,0.00173
,,,,0.39079,,,,,,,,,,,,,,0.39096,,1.44237,0.00418,,,,,,,,,,,,,,,1.85679,,1.8639,
,,,,0.41215,,,,,,,,,,,,,,0.41231,-0.0071,1.47804,-0.00865,,,,,,,,,,,,,,,1.91595,,1.92306,
,,,,0.42638,0.00176,,,,,,,,,,,,,0.42655,-8.08E-04,1.51875,,,,,,,,,,,,,,,,,,,
,,,,0.45475,,,,,,,,,,,,,,0.45491,,1.55442,,,,,,,,,,,,,,,,,,,
,,,,0.46897,,,,,,,,,,,,,,0.46914,-9.40E-04,1.59515,,,,,,,,,,,,,,,,,,,
,,,,0.49034,,,,,,,,,,,,,,0.49051,,1.63087,,,,,,,,,,,,,,,,,,,
,,,,0.50457,,,,,,,,,,,,,,0.50473,-0.00582,1.67155,0.00496,,,,,,,,,,,,,,,,,,
,,,,0.53296,0.00158,,,,,,,,,,,,,0.53313,0.00658,1.70721,-0.00566,,,,,,,,,,,,,,,,,,
,,,,0.54719,0.00665,,,,,,,,,,,,,0.54735,-0.0071,1.74793,,,,,,,,,,,,,,,,,,,
